Order ID,Order Date,Region,Customer Name,Customer Segment,Product Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
35,2023-05-26,North,Aarav,Consumer,Electronics,Mobile,8,1902.17,0.0,15217.36,2058.22
36,2023-11-13,South,Vivaan,Consumer,Electronics,Laptop,3,359.11,0.15,915.73,125.7
37,2023-04-21,West,Varsha,Home Office,Electronics,Laptop,4,778.4,0.0,3113.6,187.27
38,2023-12-01,South,Kavya,Consumer,Office Supplies,Paper,2,1589.12,0.05,3019.33,265.29
39,2022-07-09,South,Aarav,Consumer,Office Supplies,Pens,4,179.49,0.2,574.37,168.38
40,2023-11-18,South,Ananya,Corporate,Furniture,Chairs,9,835.21,0.1,6765.2,666.02
41,2023-07-17,West,Riya,Home Office,Office Supplies,Paper,3,1061.06,0.2,2546.54,276.34
42,2023-07-21,East,Krishna,Corporate,Electronics,Accessories,4,822.74,0.0,3290.96,586.26
43,2022-09-01,Central,Vihaan,Home Office,Furniture,Chairs,3,1135.53,0.0,3406.59,181.84
44,2023-05-20,West,Meera,Consumer,Furniture,Chairs,6,1426.68,0.15,7276.07,1189.36
45,2022-05-11,East,Pooja,Home Office,Furniture,Chairs,8,777.75,0.2,4977.6,1313.64
46,2023-04-30,North,Kunal,Home Office,Furniture,Tables,8,244.02,0.05,1854.55,231.05
47,2023-10-09,South,Vivaan,Corporate,Furniture,Chairs,3,1382.7,0.1,3733.29,588.91
48,2022-01-21,Central,Pooja,Corporate,Furniture,Storage,1,1794.99,0.1,1615.49,196.39
49,2022-06-16,South,Sai,Home Office,Furniture,Storage,5,170.14,0.1,765.63,62.89
50,2022-10-01,Central,Meera,Home Office,Electronics,Mobile,2,1270.67,0.15,2160.14,417.13
51,2023-01-23,West,Diya,Consumer,Office Supplies,Binders,8,392.64,0.0,3141.12,227.35
52,2023-08-24,Central,Nisha,Corporate,Electronics,Accessories,5,1391.42,0.1,6261.39,790.13
53,2022-11-12,Central,Vihaan,Home Office,Office Supplies,Paper,4,811.23,0.2,2595.94,226.16
54,2022-01-14,Central,Ananya,Consumer,Electronics,Accessories,8,1420.83,0.0,11366.64,1875.79
55,2022-08-30,Central,Vihaan,Consumer,Office Supplies,Pens,5,1728.58,0.0,8642.9,1036.29
56,2022-12-12,North,Vihaan,Consumer,Furniture,Tables,1,712.34,0.1,641.11,167.07
57,2023-07-19,East,Krishna,Consumer,Electronics,Accessories,5,1790.59,0.05,8505.3,994.85
58,2022-12-06,North,Saanvi,Consumer,Office Supplies,Pens,3,839.18,0.2,2014.03,262.07
59,2022-04-02,East,Sai,Home Office,Electronics,Accessories,1,797.89,0.0,797.89,206.34
60,2023-01-02,North,Diya,Corporate,Electronics,Mobile,5,124.81,0.0,624.05,122.09
61,2023-03-31,West,Sneha,Home Office,Furniture,Chairs,3,235.43,0.15,600.35,50.77
62,2023-03-04,Central,Kunal,Home Office,Electronics,Mobile,1,1761.54,0.2,1409.23,407.91
63,2023-05-24,Central,Kunal,Consumer,Furniture,Chairs,7,1160.49,0.05,7717.26,796.28
64,2022-02-04,North,Arjun,Corporate,Electronics,Mobile,8,839.48,0.15,5708.46,1474.06
65,2022-07-25,West,Pooja,Consumer,Furniture,Tables,1,859.25,0.05,816.29,155.4
66,2022-03-22,West,Shiva,Consumer,Electronics,Accessories,8,270.07,0.05,2052.53,523.69
67,2023-07-16,East,Pooja,Corporate,Furniture,Chairs,3,682.99,0.05,1946.52,343.47
68,2023-01-23,Central,Vivaan,Home Office,Furniture,Chairs,3,1460.62,0.05,4162.77,778.04
69,2022-01-02,Central,Kunal,Corporate,Office Supplies,Paper,3,1680.07,0.1,4536.19,744.12
70,2023-01-25,West,Shiva,Consumer,Electronics,Mobile,9,424.15,0.05,3626.48,881.04
71,2023-07-20,West,Aditya,Home Office,Furniture,Chairs,6,944.99,0.0,5669.94,641.53
72,2022-04-16,Central,Aarav,Home Office,Office Supplies,Binders,8,1340.84,0.0,10726.72,2227.37
73,2023-04-22,North,Ananya,Home Office,Electronics,Laptop,8,105.71,0.2,676.54,53.0
74,2023-12-04,North,Shiva,Corporate,Electronics,Laptop,6,233.42,0.15,1190.44,220.92
75,2023-02-06,North,Krishna,Consumer,Office Supplies,Paper,4,1481.83,0.1,5334.59,792.64
76,2023-12-31,North,Aarav,Corporate,Office Supplies,Paper,9,796.73,0.05,6812.04,1744.95
77,2023-07-10,North,Sneha,Corporate,Electronics,Accessories,5,1463.58,0.05,6952.0,2081.4
78,2022-06-11,Central,Aarav,Home Office,Electronics,Accessories,9,1482.96,0.1,12011.98,1131.18
79,2022-07-21,East,Pooja,Consumer,Furniture,Chairs,9,1702.9,0.0,15326.1,1575.55
80,2022-09-27,East,Diya,Consumer,Furniture,Tables,4,1295.16,0.15,4403.54,1039.7
81,2022-09-28,North,Krishna,Corporate,Electronics,Accessories,3,727.21,0.05,2072.55,296.83
82,2023-04-01,South,Saanvi,Home Office,Furniture,Chairs,7,1174.92,0.2,6579.55,1321.21
83,2023-04-07,East,Shiva,Consumer,Electronics,Laptop,3,135.5,0.05,386.17,79.48
84,2023-12-28,North,Vihaan,Consumer,Electronics,Mobile,2,743.76,0.2,1190.02,108.51
85,2022-09-09,Central,Rohit,Home Office,Electronics,Laptop,8,89.1,0.1,641.52,43.82
86,2023-12-03,Central,Arjun,Consumer,Electronics,Mobile,4,264.84,0.2,847.49,75.52
87,2022-10-23,Central,Kavya,Consumer,Furniture,Chairs,6,590.98,0.2,2836.7,633.15
88,2023-12-26,North,Arjun,Consumer,Electronics,Mobile,8,1079.23,0.15,7338.76,1427.16
89,2023-12-21,East,Kunal,Corporate,Electronics,Accessories,8,1878.22,0.15,12771.9,2601.96
90,2022-12-04,West,Sneha,Home Office,Office Supplies,Pens,1,1260.6,0.0,1260.6,242.51
91,2022-02-22,West,Aarav,Consumer,Office Supplies,Pens,1,1372.34,0.1,1235.11,322.61
92,2022-08-05,East,Kavya,Corporate,Electronics,Mobile,5,115.41,0.15,490.49,122.11
93,2022-07-07,South,Pooja,Home Office,Furniture,Storage,9,115.18,0.15,881.13,105.62
94,2023-01-15,East,Varsha,Home Office,Electronics,Accessories,6,1848.5,0.2,8872.8,1862.79
95,2023-05-08,East,Meera,Corporate,Electronics,Laptop,2,322.46,0.1,580.43,131.69
96,2022-02-10,East,Sneha,Corporate,Office Supplies,Paper,2,220.77,0.2,353.23,98.43
97,2022-06-06,North,Riya,Consumer,Electronics,Laptop,8,1979.99,0.05,15047.92,3007.44
98,2022-01-15,North,Sai,Consumer,Furniture,Tables,1,300.82,0.15,255.7,56.77
99,2022-03-06,West,Pooja,Home Office,Furniture,Chairs,6,1924.7,0.05,10970.79,2994.53
100,2023-06-05,East,Diya,Home Office,Electronics,Accessories,9,1966.03,0.05,16809.56,2027.82
101,2022-12-10,Central,Aditya,Home Office,Office Supplies,Binders,6,1432.09,0.0,8592.54,1070.95
102,2022-05-09,South,Vivaan,Corporate,Furniture,Storage,5,1616.44,0.1,7273.98,1159.01
103,2023-10-10,Central,Aarav,Home Office,Electronics,Accessories,8,622.58,0.1,4482.58,1179.4
104,2023-04-17,North,Aditya,Corporate,Office Supplies,Paper,1,886.33,0.1,797.7,226.14
105,2022-03-04,Central,Krishna,Corporate,Furniture,Storage,9,505.48,0.0,4549.32,270.48
106,2022-05-19,South,Ananya,Home Office,Electronics,Accessories,5,258.63,0.15,1099.18,123.0
107,2023-05-14,North,Arjun,Home Office,Office Supplies,Binders,9,859.67,0.1,6963.33,528.16
108,2023-08-16,South,Nisha,Corporate,Furniture,Chairs,7,1816.59,0.1,11444.52,2377.7
109,2023-01-27,Central,Ananya,Consumer,Office Supplies,Pens,6,930.7,0.15,4746.57,1357.63
110,2023-11-06,North,Aditya,Consumer,Electronics,Laptop,4,119.74,0.2,383.17,34.32
111,2023-02-23,South,Diya,Home Office,Furniture,Tables,1,968.61,0.0,968.61,186.05
112,2022-10-16,South,Kunal,Consumer,Office Supplies,Binders,8,1650.43,0.1,11883.1,3168.12
113,2023-01-14,East,Arjun,Corporate,Electronics,Laptop,9,537.66,0.15,4113.1,509.77
114,2023-05-05,South,Ananya,Consumer,Furniture,Storage,8,315.92,0.1,2274.62,346.53
115,2022-08-19,East,Kunal,Consumer,Furniture,Tables,2,724.37,0.0,1448.74,75.5
116,2022-02-10,West,Vihaan,Consumer,Office Supplies,Paper,2,1748.97,0.2,2798.35,597.29
117,2022-01-28,East,Pooja,Home Office,Furniture,Tables,1,1049.54,0.1,944.59,71.94
118,2022-05-15,East,Riya,Consumer,Office Supplies,Binders,5,830.3,0.0,4151.5,730.22
119,2022-07-20,Central,Riya,Home Office,Furniture,Storage,7,1426.81,0.0,9987.67,1495.93
120,2022-02-02,North,Sneha,Consumer,Furniture,Chairs,3,1574.29,0.2,3778.3,641.03
121,2022-02-17,East,Aditya,Home Office,Electronics,Accessories,7,220.77,0.1,1390.85,302.23
122,2023-05-18,Central,Meera,Consumer,Electronics,Accessories,1,1237.61,0.0,1237.61,272.45
123,2023-02-11,North,Vihaan,Home Office,Furniture,Chairs,7,1438.54,0.15,8559.31,1104.16
124,2023-07-28,West,Arjun,Home Office,Electronics,Laptop,5,1556.42,0.0,7782.1,573.84
125,2023-12-29,Central,Sai,Home Office,Electronics,Accessories,6,917.96,0.1,4956.98,879.56
126,2022-04-09,West,Diya,Corporate,Office Supplies,Binders,6,1807.46,0.0,10844.76,935.65
127,2023-11-15,South,Kavya,Home Office,Furniture,Tables,7,1343.83,0.05,8936.47,2569.71
128,2023-12-27,East,Kunal,Consumer,Furniture,Storage,6,1083.13,0.05,6173.84,1666.83
129,2023-07-01,South,Arjun,Home Office,Office Supplies,Paper,5,101.01,0.2,404.04,62.66
130,2023-09-05,Central,Nisha,Consumer,Furniture,Storage,5,365.19,0.1,1643.36,96.91
131,2023-04-07,East,Rohit,Corporate,Electronics,Mobile,9,1476.83,0.2,10633.18,1092.58
132,2023-10-05,Central,Ananya,Home Office,Electronics,Accessories,3,630.46,0.2,1513.1,127.47
133,2022-01-05,West,Varsha,Consumer,Furniture,Tables,9,1924.18,0.1,15585.86,1595.68
134,2022-08-06,West,Pooja,Consumer,Furniture,Tables,1,1849.02,0.0,1849.02,279.5
135,2023-05-18,West,Aditya,Corporate,Furniture,Storage,2,1686.85,0.15,2867.64,747.76
136,2023-02-02,South,Shiva,Home Office,Office Supplies,Binders,6,1254.57,0.05,7151.05,1650.0
137,2023-01-28,Central,Rohit,Home Office,Office Supplies,Binders,9,498.66,0.05,4263.54,1093.83
138,2022-07-26,Central,Saanvi,Home Office,Furniture,Storage,2,787.5,0.0,1575.0,121.78
139,2022-01-15,North,Varsha,Corporate,Furniture,Storage,6,725.62,0.15,3700.66,233.84
140,2023-07-08,West,Sneha,Consumer,Office Supplies,Pens,1,246.47,0.1,221.82,37.24
141,2023-04-06,West,Kunal,Home Office,Electronics,Accessories,1,748.81,0.15,636.49,134.1
142,2023-11-22,North,Pooja,Consumer,Furniture,Storage,5,1933.02,0.0,9665.1,507.05
143,2023-07-29,Central,Krishna,Corporate,Furniture,Storage,2,303.3,0.0,606.6,141.45
144,2022-08-29,South,Vihaan,Consumer,Furniture,Tables,9,661.88,0.0,5956.92,1455.99
145,2023-07-18,Central,Pooja,Corporate,Office Supplies,Paper,7,1472.87,0.05,9794.59,1052.19
146,2022-04-06,West,Aarav,Home Office,Electronics,Laptop,8,1815.38,0.15,12344.58,1880.16
147,2023-04-30,South,Sneha,Consumer,Furniture,Tables,9,142.46,0.15,1089.82,302.6
148,2023-02-11,East,Shiva,Consumer,Furniture,Tables,5,1385.31,0.05,6580.22,831.11
149,2022-08-19,North,Pooja,Corporate,Furniture,Tables,4,596.9,0.0,2387.6,263.94
150,2023-10-17,Central,Vihaan,Home Office,Office Supplies,Paper,5,279.98,0.0,1399.9,80.09
151,2022-06-20,Central,Vihaan,Consumer,Furniture,Chairs,2,1144.24,0.2,1830.78,453.39
152,2023-06-25,Central,Sneha,Corporate,Electronics,Mobile,6,838.09,0.05,4777.11,735.07
153,2022-02-05,North,Sneha,Corporate,Furniture,Tables,1,1431.93,0.1,1288.74,361.19
154,2023-06-09,West,Sai,Home Office,Electronics,Accessories,8,1427.77,0.1,10279.94,2343.85
155,2022-06-09,North,Nisha,Home Office,Furniture,Storage,5,986.18,0.0,4930.9,765.07
156,2023-11-30,Central,Aarav,Corporate,Furniture,Storage,6,151.92,0.1,820.37,63.2
157,2022-08-31,North,Sneha,Home Office,Furniture,Storage,7,1335.73,0.0,9350.11,1141.07
158,2022-03-27,Central,Shiva,Consumer,Electronics,Mobile,7,624.69,0.1,3935.55,264.66
159,2023-08-01,South,Nisha,Corporate,Office Supplies,Paper,6,820.23,0.2,3937.1,315.22
160,2023-11-13,South,Arjun,Consumer,Electronics,Mobile,8,1155.67,0.1,8320.82,1263.53
161,2023-07-11,South,Riya,Home Office,Furniture,Chairs,1,297.72,0.0,297.72,37.62
162,2023-07-28,South,Kavya,Consumer,Electronics,Mobile,1,765.65,0.05,727.37,138.71
163,2023-10-08,North,Aditya,Consumer,Furniture,Chairs,6,368.07,0.2,1766.74,484.88
164,2022-01-28,Central,Kunal,Consumer,Furniture,Storage,6,875.6,0.15,4465.56,449.9
165,2023-09-12,South,Aditya,Consumer,Electronics,Mobile,5,1420.34,0.2,5681.36,428.59
166,2023-07-10,Central,Aditya,Consumer,Furniture,Tables,8,97.63,0.2,624.83,102.04
167,2022-12-06,West,Varsha,Corporate,Electronics,Mobile,3,1830.75,0.15,4668.41,1156.42
168,2022-11-27,Central,Ananya,Home Office,Electronics,Laptop,8,402.29,0.0,3218.32,424.54
169,2023-10-02,West,Saanvi,Home Office,Office Supplies,Pens,7,1229.36,0.2,6884.42,1396.67
170,2023-05-21,North,Krishna,Consumer,Office Supplies,Paper,9,1316.0,0.05,11251.8,1996.45
171,2022-12-14,South,Sneha,Home Office,Electronics,Laptop,8,1953.24,0.1,14063.33,1861.2
172,2023-04-18,Central,Arjun,Consumer,Electronics,Mobile,5,1940.41,0.05,9216.95,2268.61
173,2022-08-19,South,Krishna,Corporate,Furniture,Storage,8,1411.63,0.05,10728.39,2758.62
174,2022-07-09,East,Sneha,Home Office,Furniture,Storage,5,128.64,0.15,546.72,131.79
175,2022-08-13,South,Varsha,Home Office,Office Supplies,Pens,7,979.67,0.05,6514.81,1368.04
176,2023-01-20,East,Riya,Home Office,Furniture,Storage,3,1740.54,0.1,4699.46,436.9
177,2023-01-12,East,Pooja,Consumer,Electronics,Laptop,8,451.84,0.2,2891.78,191.58
178,2022-10-10,South,Vihaan,Home Office,Office Supplies,Pens,6,885.9,0.2,4252.32,671.66
179,2023-09-25,Central,Pooja,Home Office,Electronics,Laptop,5,1580.89,0.1,7114.01,646.71
180,2023-09-20,South,Ananya,Consumer,Furniture,Chairs,1,1518.32,0.15,1290.57,345.87
181,2022-09-16,East,Meera,Consumer,Furniture,Storage,4,1712.26,0.0,6849.04,680.3
182,2022-12-25,North,Pooja,Corporate,Electronics,Mobile,6,1079.22,0.0,6475.32,1639.38
183,2023-12-11,East,Aarav,Consumer,Electronics,Mobile,4,1539.04,0.0,6156.16,1523.44
184,2023-04-01,South,Shiva,Home Office,Office Supplies,Binders,9,1499.91,0.1,12149.27,2031.42
185,2023-02-15,East,Ananya,Consumer,Office Supplies,Pens,7,875.71,0.05,5823.47,762.84
186,2023-10-11,East,Saanvi,Home Office,Furniture,Storage,6,1952.28,0.2,9370.94,1862.58
187,2022-11-14,East,Vihaan,Corporate,Electronics,Laptop,8,1920.51,0.15,13059.47,1226.28
188,2023-11-08,South,Diya,Consumer,Office Supplies,Paper,8,1624.06,0.2,10393.98,1816.44
189,2022-08-13,West,Sai,Home Office,Furniture,Tables,7,1673.37,0.2,9370.87,1034.32
190,2022-08-22,West,Rohit,Home Office,Electronics,Accessories,3,931.76,0.15,2375.99,686.21
191,2023-11-15,East,Vihaan,Home Office,Electronics,Accessories,5,972.69,0.15,4133.93,442.39
192,2023-10-26,North,Rohit,Corporate,Office Supplies,Paper,1,109.24,0.1,98.32,6.05
193,2023-01-09,East,Diya,Consumer,Electronics,Accessories,4,93.16,0.1,335.38,72.88
194,2023-11-03,North,Sneha,Home Office,Electronics,Laptop,1,1151.89,0.0,1151.89,283.84
195,2023-08-31,North,Pooja,Consumer,Electronics,Mobile,8,326.14,0.0,2609.12,259.49
196,2023-04-17,Central,Kunal,Home Office,Office Supplies,Paper,8,577.25,0.1,4156.2,1198.36
197,2022-08-21,West,Riya,Consumer,Office Supplies,Pens,3,79.77,0.0,239.31,13.31
198,2023-11-23,Central,Diya,Consumer,Office Supplies,Paper,6,1317.68,0.2,6324.86,562.36
199,2022-04-23,Central,Krishna,Corporate,Electronics,Accessories,4,1455.14,0.15,4947.48,416.5
200,2023-05-12,East,Aarav,Corporate,Furniture,Chairs,8,1802.3,0.2,11534.72,3283.3
201,2023-03-18,South,Sai,Consumer,Electronics,Mobile,7,93.43,0.1,588.61,91.9
202,2023-07-18,South,Meera,Home Office,Electronics,Mobile,6,1938.01,0.0,11628.06,1120.73
203,2022-09-25,South,Aditya,Home Office,Furniture,Storage,5,339.61,0.2,1358.44,392.56
204,2023-05-25,South,Shiva,Consumer,Electronics,Mobile,3,1003.81,0.2,2409.14,518.78
205,2023-01-21,East,Krishna,Consumer,Office Supplies,Paper,5,1288.56,0.2,5154.24,760.27
206,2023-01-22,West,Arjun,Corporate,Electronics,Laptop,4,1913.95,0.05,7273.01,1960.29
207,2022-04-23,West,Ananya,Home Office,Furniture,Storage,8,826.21,0.15,5618.23,1408.16
208,2023-09-05,South,Vihaan,Home Office,Electronics,Mobile,1,855.73,0.05,812.94,178.76
209,2023-09-17,West,Meera,Home Office,Office Supplies,Paper,9,382.53,0.0,3442.77,736.88
210,2022-03-22,West,Pooja,Consumer,Office Supplies,Paper,4,1804.82,0.1,6497.35,653.12
211,2023-11-30,East,Varsha,Consumer,Furniture,Tables,4,437.37,0.1,1574.53,472.09
212,2022-04-23,North,Nisha,Home Office,Electronics,Laptop,2,1548.42,0.0,3096.84,236.84
213,2022-01-02,East,Sneha,Home Office,Office Supplies,Pens,2,1537.46,0.2,2459.94,453.81
214,2023-10-04,East,Kavya,Corporate,Furniture,Storage,5,179.27,0.0,896.35,161.46
215,2022-08-08,East,Krishna,Consumer,Electronics,Accessories,7,1655.37,0.15,9849.45,1693.41
216,2023-07-20,East,Saanvi,Corporate,Furniture,Chairs,7,1826.48,0.0,12785.36,2466.41
217,2022-08-13,North,Aditya,Home Office,Furniture,Storage,5,249.34,0.15,1059.7,100.67
218,2023-01-20,South,Aarav,Corporate,Furniture,Tables,9,1731.55,0.1,14025.55,2339.61
219,2023-02-07,East,Kavya,Home Office,Electronics,Laptop,3,1627.51,0.1,4394.28,1260.1
220,2023-09-30,North,Nisha,Corporate,Office Supplies,Binders,8,878.75,0.2,5624.0,1049.76
221,2022-05-10,West,Sneha,Corporate,Electronics,Accessories,1,1451.28,0.15,1233.59,262.5
222,2022-02-22,South,Pooja,Corporate,Furniture,Tables,2,909.49,0.15,1546.13,284.94
223,2023-11-15,West,Sneha,Corporate,Electronics,Laptop,3,1948.87,0.1,5261.95,309.94
224,2023-12-31,West,Shiva,Home Office,Furniture,Storage,6,384.82,0.05,2193.47,554.25
225,2023-11-03,North,Sneha,Consumer,Office Supplies,Binders,3,167.14,0.05,476.35,94.55
226,2023-12-11,Central,Kunal,Corporate,Office Supplies,Paper,1,707.0,0.15,600.95,92.64
227,2023-02-20,South,Nisha,Corporate,Electronics,Laptop,8,1591.87,0.05,12098.21,641.42
228,2022-09-04,North,Shiva,Corporate,Office Supplies,Pens,8,968.79,0.1,6975.29,1150.04
229,2023-03-15,East,Rohit,Consumer,Furniture,Chairs,1,562.14,0.2,449.71,124.34
230,2022-07-22,North,Ananya,Consumer,Furniture,Tables,5,1498.31,0.1,6742.4,1761.83
231,2022-07-03,West,Aarav,Corporate,Electronics,Mobile,4,660.84,0.2,2114.69,476.21
232,2022-05-03,Central,Rohit,Corporate,Office Supplies,Paper,1,468.75,0.05,445.31,53.89
233,2023-02-05,West,Aditya,Home Office,Electronics,Accessories,2,205.97,0.2,329.55,65.15
234,2022-10-21,West,Vihaan,Home Office,Furniture,Tables,2,1481.44,0.15,2518.45,443.71
235,2022-10-07,North,Saanvi,Home Office,Electronics,Accessories,9,247.01,0.05,2111.94,500.49
236,2023-09-02,Central,Riya,Corporate,Furniture,Tables,3,499.46,0.0,1498.38,231.36
237,2022-07-17,North,Nisha,Home Office,Office Supplies,Binders,5,1594.32,0.2,6377.28,735.03
238,2023-05-26,Central,Pooja,Corporate,Electronics,Accessories,7,1006.37,0.15,5987.9,1100.65
239,2022-05-24,West,Diya,Consumer,Electronics,Mobile,8,1554.6,0.05,11814.96,2989.13
240,2023-09-01,Central,Aditya,Corporate,Office Supplies,Pens,8,81.41,0.05,618.72,144.2
241,2022-07-20,South,Riya,Home Office,Electronics,Mobile,6,1273.73,0.15,6496.02,850.15
242,2022-05-04,West,Saanvi,Consumer,Furniture,Chairs,3,1010.71,0.15,2577.31,223.52
243,2022-07-06,West,Aarav,Consumer,Electronics,Laptop,7,833.81,0.1,5253.0,310.61
244,2022-11-22,South,Pooja,Home Office,Electronics,Accessories,4,662.39,0.1,2384.6,260.41
245,2023-04-09,West,Sai,Corporate,Electronics,Mobile,6,1691.76,0.2,8120.45,1102.44
246,2022-12-15,Central,Nisha,Consumer,Furniture,Storage,7,652.13,0.2,3651.93,715.98
247,2023-10-22,West,Varsha,Consumer,Electronics,Laptop,4,521.76,0.0,2087.04,147.48
248,2023-02-07,North,Diya,Home Office,Office Supplies,Binders,2,1984.87,0.2,3175.79,207.46
249,2022-12-12,West,Saanvi,Consumer,Electronics,Mobile,8,989.58,0.2,6333.31,418.78
250,2023-05-26,Central,Rohit,Home Office,Furniture,Storage,8,1578.64,0.15,10734.75,570.97
251,2022-05-27,South,Arjun,Home Office,Electronics,Mobile,7,1292.92,0.2,7240.35,767.94
252,2022-05-28,West,Sai,Corporate,Office Supplies,Binders,1,1869.79,0.0,1869.79,109.46
253,2023-12-12,East,Ananya,Home Office,Electronics,Accessories,4,244.34,0.15,830.76,123.68
254,2023-05-04,West,Vivaan,Consumer,Electronics,Accessories,9,151.17,0.0,1360.53,93.57
255,2023-10-02,Central,Rohit,Consumer,Furniture,Storage,4,1523.1,0.1,5483.16,1002.71
256,2023-07-05,North,Ananya,Consumer,Furniture,Tables,2,1477.97,0.05,2808.14,154.11
257,2022-12-04,North,Sai,Home Office,Electronics,Accessories,9,124.5,0.2,896.4,191.16
258,2023-10-03,West,Meera,Consumer,Electronics,Laptop,7,1205.26,0.0,8436.82,682.25
259,2023-04-18,Central,Rohit,Consumer,Office Supplies,Binders,6,1351.82,0.05,7705.37,1624.97
260,2022-05-31,Central,Sneha,Corporate,Furniture,Storage,4,810.63,0.1,2918.27,375.28
261,2023-02-19,South,Kunal,Corporate,Electronics,Accessories,4,592.2,0.2,1895.04,175.35
262,2022-10-25,South,Kavya,Home Office,Electronics,Mobile,4,101.87,0.2,325.98,33.76
263,2023-09-03,North,Pooja,Corporate,Office Supplies,Paper,5,1135.78,0.2,4543.12,1139.91
264,2022-09-20,Central,Riya,Consumer,Furniture,Storage,7,277.07,0.2,1551.59,313.31
265,2022-05-24,North,Pooja,Corporate,Electronics,Laptop,7,776.43,0.2,4348.01,1037.95
266,2022-12-12,East,Aarav,Consumer,Office Supplies,Pens,3,1888.09,0.05,5381.06,958.61
267,2023-09-16,Central,Nisha,Consumer,Office Supplies,Paper,4,979.31,0.15,3329.65,958.74
268,2023-07-26,South,Sai,Consumer,Furniture,Chairs,2,1074.45,0.2,1719.12,382.38
269,2022-01-02,North,Sneha,Consumer,Electronics,Mobile,4,365.12,0.2,1168.38,227.7
270,2022-10-31,East,Shiva,Home Office,Electronics,Mobile,6,252.36,0.0,1514.16,302.32
271,2022-09-11,North,Vivaan,Corporate,Office Supplies,Pens,7,1090.37,0.1,6869.33,1232.42
272,2023-10-14,East,Krishna,Consumer,Furniture,Storage,7,729.05,0.05,4848.18,538.43
